Algorithm,Array Size,Time (ns)
insertion_sort,16,16578
merge_sort,16,39478
shell_sort1,16,79539
shell_sort2,16,23911
shell_sort3,16,40393
shell_sort4,16,19367
hybrid_sort1,16,45086
hybrid_sort2,16,32713
hybrid_sort3,16,23779
insertion_sort,16,16887
merge_sort,16,35916
shell_sort1,16,68156
shell_sort2,16,24785
shell_sort3,16,40468
shell_sort4,16,18110
hybrid_sort1,16,44259
hybrid_sort2,16,32598
hybrid_sort3,16,23665
insertion_sort,16,13343
merge_sort,16,36234
shell_sort1,16,68317
shell_sort2,16,19972
shell_sort3,16,38740
shell_sort4,16,19240
hybrid_sort1,16,44296
hybrid_sort2,16,32714
hybrid_sort3,16,23783
insertion_sort,16,15565
merge_sort,16,35994
shell_sort1,16,69096
shell_sort2,16,22774
shell_sort3,16,37650
shell_sort4,16,17461
hybrid_sort1,16,43989
hybrid_sort2,16,31832
hybrid_sort3,16,22713
insertion_sort,16,15043
merge_sort,16,35730
shell_sort1,16,67497
shell_sort2,16,22381
shell_sort3,16,38492
shell_sort4,16,19095
hybrid_sort1,16,43748
hybrid_sort2,16,32138
hybrid_sort3,16,22887
insertion_sort,16,14810
merge_sort,16,35664
shell_sort1,16,67967
shell_sort2,16,22323
shell_sort3,16,52736
shell_sort4,16,21389
hybrid_sort1,16,44960
hybrid_sort2,16,31863
hybrid_sort3,16,23318
insertion_sort,16,12342
merge_sort,16,36030
shell_sort1,16,69580
shell_sort2,16,18728
shell_sort3,16,39107
shell_sort4,16,19618
hybrid_sort1,16,43964
hybrid_sort2,16,32176
hybrid_sort3,16,23989
insertion_sort,16,11926
merge_sort,16,35583
shell_sort1,16,68429
shell_sort2,16,17883
shell_sort3,16,37827
shell_sort4,16,15144
hybrid_sort1,16,43627
hybrid_sort2,16,32016
hybrid_sort3,16,21947
insertion_sort,16,13641
merge_sort,16,35762
shell_sort1,16,68928
shell_sort2,16,20171
shell_sort3,16,37373
shell_sort4,16,19027
hybrid_sort1,16,43771
hybrid_sort2,16,32163
hybrid_sort3,16,22971
insertion_sort,16,12983
merge_sort,16,35947
shell_sort1,16,67934
shell_sort2,16,19328
shell_sort3,16,39976
shell_sort4,16,16663
hybrid_sort1,16,44113
hybrid_sort2,16,32598
hybrid_sort3,16,23535
insertion_sort,32,36285
merge_sort,32,81584
shell_sort1,32,253383
shell_sort2,32,50777
shell_sort3,32,90795
shell_sort4,32,40308
hybrid_sort1,32,72368
hybrid_sort2,32,55706
hybrid_sort3,32,54995
insertion_sort,32,46854
merge_sort,32,82398
shell_sort1,32,252761
shell_sort2,32,70459
shell_sort3,32,93465
shell_sort4,32,42705
hybrid_sort1,32,73794
hybrid_sort2,32,56872
hybrid_sort3,32,55614
insertion_sort,32,41290
merge_sort,32,82493
shell_sort1,32,254366
shell_sort2,32,58584
