Algorithm,Array Size,Time (ns)
hybrid_sort1,64,156692
hybrid_sort2,64,100743
hybrid_sort3,64,72967
merge_sort,64,154430
hybrid_sort1,64,138923
hybrid_sort2,64,96997
hybrid_sort3,64,70722
merge_sort,64,154288
hybrid_sort1,64,138626
hybrid_sort2,64,96568
hybrid_sort3,64,70920
merge_sort,64,153484
hybrid_sort1,64,139318
hybrid_sort2,64,97024
hybrid_sort3,64,70858
merge_sort,64,153772
hybrid_sort1,64,139098
hybrid_sort2,64,96913
hybrid_sort3,64,70723
merge_sort,64,154046
hybrid_sort1,64,138860
hybrid_sort2,64,96737
hybrid_sort3,64,70559
merge_sort,64,153291
hybrid_sort1,64,139711
hybrid_sort2,64,96685
hybrid_sort3,64,70643
merge_sort,64,153424
hybrid_sort1,64,143765
hybrid_sort2,64,97201
hybrid_sort3,64,70913
merge_sort,64,153344
hybrid_sort1,64,138730
hybrid_sort2,64,96460
hybrid_sort3,64,70756
merge_sort,64,140663
hybrid_sort1,64,138861
hybrid_sort2,64,96743
hybrid_sort3,64,70677
merge_sort,64,138795
hybrid_sort1,128,307395
hybrid_sort2,128,223765
hybrid_sort3,128,130768
merge_sort,128,306651
hybrid_sort1,128,308029
hybrid_sort2,128,223596
hybrid_sort3,128,130660
merge_sort,128,321096
hybrid_sort1,128,308745
hybrid_sort2,128,223256
hybrid_sort3,128,130778
merge_sort,128,307273
hybrid_sort1,128,284209
hybrid_sort2,128,223288
hybrid_sort3,128,130525
merge_sort,128,305955
hybrid_sort1,128,287396
hybrid_sort2,128,222865
hybrid_sort3,128,130413
merge_sort,128,306238
hybrid_sort1,128,283823
hybrid_sort2,128,222708
hybrid_sort3,128,151168
merge_sort,128,307166
hybrid_sort1,128,280437
hybrid_sort2,128,222807
hybrid_sort3,128,130764
merge_sort,128,306671
hybrid_sort1,128,279329
hybrid_sort2,128,222032
hybrid_sort3,128,130234
merge_sort,128,306924
hybrid_sort1,128,291207
hybrid_sort2,128,223150
hybrid_sort3,128,130409
merge_sort,128,306874
hybrid_sort1,128,279451
hybrid_sort2,128,222502
hybrid_sort3,128,130527
merge_sort,128,306222
hybrid_sort1,256,614876
hybrid_sort2,256,405848
hybrid_sort3,256,329078
merge_sort,256,674228
hybrid_sort1,256,614224
hybrid_sort2,256,381493
hybrid_sort3,256,323542
merge_sort,256,672003
hybrid_sort1,256,612810
hybrid_sort2,256,375801
hybrid_sort3,256,323295
merge_sort,256,671707
hybrid_sort1,256,613001
hybrid_sort2,256,374753
hybrid_sort3,256,323747
merge_sort,256,710416
hybrid_sort1,256,615621
hybrid_sort2,256,375854
hybrid_sort3,256,323524
merge_sort,256,671453
hybrid_sort1,256,612905
hybrid_sort2,256,386502
hybrid_sort3,256,328189
merge_sort,256,694005
hybrid_sort1,256,616514
hybrid_sort2,256,374776
hybrid_sort3,256,324054
merge_sort,256,700641
hybrid_sort1,256,616820
hybrid_sort2,256,379398
hybrid_sort3,256,323414
merge_sort,256,673512
hybrid_sort1,256,614556
hybrid_sort2,256,377973
hybrid_sort3,256,328642
merge_sort,256,674000
hybrid_sort1,256,615640
hybrid_sort2,256,377886
hybrid_sort3,256,326268
merge_sort,256,674950
hybrid_sort1,512,1343348
hybrid_sort2,512,871605
hybrid_sort3,512,629277
merge_sort,512,1463996
hybrid_sort1,512,1336062
hybrid_sort2,512,875090
hybrid_sort3,512,641278
merge_sort,512,1545229
hybrid_sort1,512,1336906
hybrid_sort2,512,873131
hybrid_sort3,512,632407
merge_sort,512,1460843
hybrid_sort1,512,1374826
hybrid_sort2,512,871790
hybrid_sort3,512,628806
merge_sort,512,1478778
hybrid_sort1,512,1334610
hybrid_sort2,512,871814
hybrid_sort3,512,644455
merge_sort,512,1471510
hybrid_sort1,512,1333930
hybrid_sort2,512,878176
hybrid_sort3,512,631734
merge_sort,512,1460257
hybrid_sort1,512,1373512
hybrid_sort2,512,867231
hybrid_sort3,512,629162
merge_sort,512,1462359
hybrid_sort1,512,1332257
hybrid_sort2,512,866148
hybrid_sort3,512,628225
merge_sort,512,1458411
hybrid_sort1,512,1333119
hybrid_sort2,512,865304
hybrid_sort3,512,624243
merge_sort,512,1460077
hybrid_sort1,512,1387871
hybrid_sort2,512,870236
hybrid_sort3,512,626749
merge_sort,512,1469079
hybrid_sort1,1024,2586830
hybrid_sort2,1024,1734393
hybrid_sort3,1024,1552260
merge_sort,1024,3184103
hybrid_sort1,1024,2579511
hybrid_sort2,1024,1722337
hybrid_sort3,1024,1481978
merge_sort,1024,3180769
hybrid_sort1,1024,2585439
hybrid_sort2,1024,1698727
hybrid_sort3,1024,1431654
merge_sort,1024,3188850
hybrid_sort1,1024,2588233
hybrid_sort2,1024,1702668
hybrid_sort3,1024,1429308
merge_sort,1024,3193780
hybrid_sort1,1024,2622088
hybrid_sort2,1024,1699778
hybrid_sort3,1024,1425992
merge_sort,1024,3189143
hybrid_sort1,1024,2609369
hybrid_sort2,1024,1709275
hybrid_sort3,1024,1414391
merge_sort,1024,3202772
hybrid_sort1,1024,2587996
hybrid_sort2,1024,1705394
hybrid_sort3,1024,1425122
merge_sort,1024,3213235
hybrid_sort1,1024,2596244
hybrid_sort2,1024,1694647
hybrid_sort3,1024,1440858
merge_sort,1024,3245303
hybrid_sort1,1024,2574444
hybrid_sort2,1024,1711408
hybrid_sort3,1024,1417751
merge_sort,1024,3236696
hybrid_sort1,1024,2602019
hybrid_sort2,1024,1703234
hybrid_sort3,1024,1424930
merge_sort,1024,3212969
