Algorithm,Array Size,Time (ns)
shell_sort2,16,22103
shell_sort2,16,15557
shell_sort2,16,17001
shell_sort2,16,19040
shell_sort2,16,16624
shell_sort2,16,19335
shell_sort2,16,18192
shell_sort2,16,19162
shell_sort2,16,17455
shell_sort2,16,16542
shell_sort2,32,39595
shell_sort2,32,41526
shell_sort2,32,38467
shell_sort2,32,35642
shell_sort2,32,38173
shell_sort2,32,37057
shell_sort2,32,39366
shell_sort2,32,39484
shell_sort2,32,37738
shell_sort2,32,43601
shell_sort2,64,84133
shell_sort2,64,85825
shell_sort2,64,99912
shell_sort2,64,100637
shell_sort2,64,93382
shell_sort2,64,101509
shell_sort2,64,96301
shell_sort2,64,104895
shell_sort2,64,95853
shell_sort2,64,98388
shell_sort2,128,203058
shell_sort2,128,227204
shell_sort2,128,197774
shell_sort2,128,222192
shell_sort2,128,208821
shell_sort2,128,211900
shell_sort2,128,215093
shell_sort2,128,227468
shell_sort2,128,205984
shell_sort2,128,212512
shell_sort2,256,494813
shell_sort2,256,524590
shell_sort2,256,486054
shell_sort2,256,483770
shell_sort2,256,499245
shell_sort2,256,483381
shell_sort2,256,470801
shell_sort2,256,460365
shell_sort2,256,453877
shell_sort2,256,509931
shell_sort2,512,1253888
shell_sort2,512,1183872
shell_sort2,512,1206977
shell_sort2,512,1235685
shell_sort2,512,1185162
shell_sort2,512,1130332
shell_sort2,512,1206291
shell_sort2,512,1235026
shell_sort2,512,1246310
shell_sort2,512,1175492
shell_sort2,1024,2764426
shell_sort2,1024,2779295
shell_sort2,1024,2802256
shell_sort2,1024,2687292
shell_sort2,1024,2732928
shell_sort2,1024,2756554
shell_sort2,1024,2898872
shell_sort2,1024,2847594
shell_sort2,1024,2569236
shell_sort2,1024,2836795
shell_sort2,2048,6049818
shell_sort2,2048,6342801
shell_sort2,2048,6087092
shell_sort2,2048,6222732
shell_sort2,2048,5993371
shell_sort2,2048,6185575
shell_sort2,2048,6979181
shell_sort2,2048,6792439
shell_sort2,2048,6297456
shell_sort2,2048,7088140
shell_sort2,4096,13569395
shell_sort2,4096,13619435
shell_sort2,4096,13969627
shell_sort2,4096,13259296
shell_sort2,4096,13469292
shell_sort2,4096,13597586
shell_sort2,4096,13567516
shell_sort2,4096,13566800
shell_sort2,4096,14471264
shell_sort2,4096,13947132
