16,0
32,0
64,0
128,0
256,0
512,0
1024,15625000
2048,15625000
4096,31250000
8192,78125000
16384,156250000
32768,343750000
16,0
32,0
64,0
128,0
256,0
512,0
1024,0
2048,31250000
4096,46875000
8192,78125000
16384,156250000
32768,359375000
16,0
32,0
64,0
128,0
256,0
512,0
1024,0
2048,15625000
4096,31250000
8192,93750000
16384,156250000
32768,359375000
16,0
32,0
64,0
128,15625000
256,0
512,15625000
1024,15625000
2048,15625000
4096,46875000
8192,93750000
16384,156250000
